iter	Passed	Remaining
405	6085	8903
406	6096	8882
407	6108	8863
408	6119	8842
409	6131	8823
410	6143	8804
411	6155	8785
412	6167	8766
413	6179	8746
414	6190	8727
415	6201	8706
416	6212	8686
417	6224	8667
418	6235	8646
419	6246	8626
420	6258	8607
421	6269	8587
422	6280	8567
423	6292	8548
424	6303	8528
425	6315	8509
426	6326	8489
427	6337	8469
428	6348	8450
429	6358	8429
430	6369	8409
431	6381	8389
432	6392	8370
433	6403	8350
434	6413	8330
435	6424	8310
436	6435	8290
437	6447	8272
438	6457	8252
439	6469	8234
440	6480	8214
441	6491	8195
442	6502	8176
443	6513	8156
444	6524	8137
445	6535	8117
446	6546	8098
447	6557	8079
448	6569	8061
449	6580	8042
450	6591	8023
451	6601	8003
452	6612	7984
453	6624	7967
454	6636	7948
455	6646	7929
456	6658	7911
457	6669	7892
458	6679	7872
459	6689	7853
460	6700	7834
461	6711	7815
462	6721	7795
463	6733	7777
464	6743	7758
465	6754	7740
466	6765	7722
467	6776	7703
468	6786	7684
469	6797	7664
470	6807	7646
471	6818	7627
472	6828	7608
473	6839	7589
474	6850	7571
475	6862	7554
476	6872	7535
477	6883	7516
478	6893	7497
479	6903	7479
480	6914	7460
481	6924	7441
482	6935	7423
483	6947	7406
484	6957	7388
485	6969	7370
486	6979	7352
487	6990	7334
488	7000	7315
489	7010	7296
490	7020	7277
491	7030	7259
492	7040	7240
493	7050	7221
494	7061	7204
495	7072	7186
496	7083	7168
497	7093	7150
498	7104	7132
499	7115	7115
500	7125	7097
501	7135	7078
502	7146	7060
503	7157	7043
504	7168	7026
505	7179	7009
506	7190	6992
507	7201	6974
508	7212	6957
509	7222	6939
510	7232	6921
511	7243	6904
512	7255	6887
513	7267	6871
514	7278	6854
515	7290	6838
516	7301	6821
517	7313	6805
518	7324	6788
519	7335	6771
520	7347	6755
521	7360	6740
522	7372	6724
523	7383	6707
524	7394	6690
525	7405	6673
526	7415	6656
527	7426	6639
528	7437	6622
529	7447	6604
530	7459	6588
531	7473	6574
532	7483	6557
533	7494	6540
534	7505	6523
535	7516	6506
536	7527	6490
537	7537	6473
538	7547	6455
539	7558	6439
540	7569	6422
541	7580	6405
542	7591	6389
543	7603	6373
544	7614	6356
545	7624	6340
546	7636	6324
547	7646	6306
548	7657	6290
549	7669	6275
550	7680	6258
551	7691	6242
552	7702	6226
553	7713	6209
554	7724	6193
555	7736	6177
556	7748	6162
557	7759	6146
558	7773	6132
559	7787	6118
560	7801	6104
561	7813	6089
562	7825	6074
563	7839	6060
564	7854	6047
565	7869	6034
566	7883	6020
567	7899	6007
568	7914	5995
569	7926	5979
570	7941	5966
571	7955	5952
572	7971	5940
573	7986	5927
574	8000	5913
575	8013	5899
576	8027	5884
577	8042	5871
578	8056	5858
579	8072	5845
580	8086	5831
581	8100	5818
582	8116	5805
583	8131	5792
584	8144	5777
585	8156	5762
586	8169	5748
587	8182	5733
588	8194	5718
589	8208	5704
590	8221	5689
591	8232	5673
592	8245	5658
593	8257	5644
594	8268	5628
595	8280	5612
596	8293	5598
597	8304	5582
598	8318	5568
599	8331	5554
600	8344	5539
601	8354	5523
602	8365	5507
603	8376	5492
604	8389	5477
605	8399	5461
606	8410	5445
607	8421	5429
608	8432	5414
609	8443	5398
610	8454	5382
611	8467	5368
612	8478	5352
613	8490	5337
614	8503	5323
615	8514	5307
616	8526	5293
617	8538	5277
618	8549	5262
619	8562	5247
620	8574	5233
621	8586	5218
622	8597	5202
623	8610	5188
624	8623	5173
625	8634	5158
626	8646	5143
627	8659	5129
628	8670	5113
629	8681	5098
630	8692	5083
631	8704	5068
632	8716	5053
633	8728	5038
634	8739	5023
635	8752	5009
636	8764	4994
637	8776	4979
638	8788	4965
639	8801	4950
640	8813	4935
641	8825	4921
642	8838	4907
643	8851	4893
644	8863	4878
645	8876	4864
646	8888	4849
647	8900	4834
648	8911	4819
649	8924	4805
650	8936	4790
651	8950	4777
652	8962	4762
653	8974	4747
654	8986	4733
655	8999	4719
656	9011	4704
657	9022	4689
658	9034	4674
659	9047	4660
660	9059	4646
661	9072	4632
662	9085	4618
663	9098	4603
664	9110	4589
665	9121	4574
666	9134	4560
667	9145	4545
668	9157	4530
669	9170	4516
670	9183	4502
671	9196	4488
672	9207	4473
673	9219	4459
674	9232	4445
675	9244	4430
676	9255	4415
677	9268	4401
678	9280	4387
679	9292	4372
680	9303	4357
681	9315	4343
682	9328	4329
683	9339	4314
684	9354	4301
685	9366	4287
686	9378	4272
687	9390	4258
688	9401	4243
689	9414	4229
690	9427	4215
691	9438	4200
692	9450	4186
693	9461	4171
694	9474	4157
695	9486	4143
696	9497	4128
697	9509	4114
698	9520	4099
699	9532	4085
700	9543	4070
701	9554	4055
702	9565	4041
703	9576	4026
704	9589	4012
705	9600	3997
706	9612	3983
707	9624	3969
708	9635	3954
709	9646	3940
710	9658	3925
711	9669	3911
712	9682	3897
713	9694	3883
714	9705	3868
715	9717	3854
716	9727	3839
717	9740	3825
718	9752	3811
719	9764	3797
720	9776	3783
721	9789	3769
722	9802	3755
723	9812	3740
724	9822	3725
725	9833	3711
726	9844	3696
727	9856	3682
728	9867	3668
729	9879	3654
730	9891	3639
731	9902	3625
732	9912	3610
733	9924	3596
734	9935	3582
735	9946	3567
736	9958	3553
737	9970	3539
738	9982	3525
739	9993	3511
740	10004	3496
741	10016	3482
742	10026	3467
743	10037	3453
744	10048	3439
745	10059	3425
746	10070	3410
747	10081	3396
748	10093	3382
749	10104	3368
750	10115	3353
751	10126	3339
752	10137	3325
753	10148	3311
754	10159	3296
755	10170	3282
756	10181	3268
757	10192	3254
758	10205	3240
759	10217	3226
760	10228	3212
761	10238	3197
762	10249	3183
763	10259	3169
764	10270	3155
765	10283	3141
766	10294	3127
767	10305	3113
768	10317	3099
769	10328	3085
770	10338	3070
771	10349	3056
772	10362	3042
773	10372	3028
774	10383	3014
775	10394	3000
776	10406	2986
777	10417	2972
778	10429	2958
779	10440	2944
780	10451	2930
781	10462	2916
782	10473	2902
783	10484	2888
784	10495	2874
785	10506	2860
786	10517	2846
787	10528	2832
788	10539	2818
789	10550	2804
790	10561	2790
791	10572	2776
792	10582	2762
793	10593	2748
794	10603	2734
795	10614	2720
796	10626	2706
797	10638	2692
798	10649	2679
799	10660	2665
800	10672	2651
801	10683	2637
802	10695	2623
803	10707	2610
804	10717	2596
805	10729	2582
806	10740	2568
807	10753	2555
808	10764	2541
809	10776	2527
810	10787	2514
811	10798	2500
812	10810	2486
813	10823	2473
814	10834	2459
815	10845	2445
816	10857	2432
817	10869	2418
818	10881	2404
819	10893	2391
820	10905	2377
821	10917	2364
822	10929	2350
823	10941	2336
824	10953	2323
825	10964	2309
826	10976	2296
827	10987	2282
828	10999	2268
829	11010	2255
830	11021	2241
831	11033	2227
832	11044	2214
833	11055	2200
834	11066	2186
835	11078	2173
836	11090	2159
837	11101	2146
838	11113	2132
839	11123	2118
840	11135	2105
841	11147	2091
842	11157	2078
843	11170	2064
844	11180	2050
845	11190	2037
846	11201	2023
847	11213	2010
848	11224	1996
849	11236	1982
850	11247	1969
851	11258	1955
852	11269	1942
853	11280	1928
854	11290	1914
855	11300	1901
856	11311	1887
857	11322	1873
858	11333	1860
859	11344	1846
860	11354	1833
861	11365	1819
862	11374	1805
863	11384	1792
864	11395	1778
865	11405	1764
866	11416	1751
867	11427	1737
868	11438	1724
869	11449	1710
870	11460	1697
871	11470	1683
872	11480	1670
873	11490	1656
874	11500	1642
875	11511	1629
876	11521	1615
877	11531	1602
878	11541	1588
879	11552	1575
880	11562	1561
881	11572	1548
882	11582	1534
883	11592	1521
884	11602	1507
885	11611	1494
886	11622	1480
887	11632	1467
888	11643	1453
889	11653	1440
890	11663	1426
891	11673	1413
892	11686	1400
893	11698	1387
894	11711	1373
895	11724	1360
896	11735	1347
897	11749	1334
898	11761	1321
899	11774	1308
900	11787	1295
901	11799	1281
902	11811	1268
903	11824	1255
904	11837	1242
905	11847	1229
906	11859	1216
907	11871	1202
908	11882	1189
909	11894	1176
910	11906	1163
911	11917	1149
912	11929	1136
913	11940	1123
914	11952	1110
915	11963	1097
916	11974	1083
917	11987	1070
918	11998	1057
919	12009	1044
920	12021	1031
921	12034	1018
922	12046	1004
923	12060	992
924	12074	978
925	12087	965
926	12100	952
927	12113	939
928	12125	926
929	12138	913
930	12152	900
931	12166	887
932	12178	874
933	12190	861
934	12202	848
935	12214	835
936	12226	822
937	12238	808
938	12250	795
939	12262	782
940	12275	769
941	12288	756
942	12300	743
943	12312	730
944	12323	717
945	12335	704
946	12347	691
947	12359	677
948	12372	664
949	12384	651
950	12395	638
951	12406	625
952	12418	612
953	12430	599
954	12441	586
955	12453	573
956	12466	560
957	12478	547
958	12491	534
959	12502	520
960	12514	507
961	12526	494
962	12537	481
963	12550	468
964	12561	455
965	12573	442
966	12585	429
967	12597	416
968	12609	403
969	12621	390
970	12633	377
971	12645	364
972	12658	351
973	12669	338
974	12681	325
975	12694	312
976	12705	299
977	12717	286
978	12728	273
979	12740	260
980	12751	246
981	12763	233
982	12776	220
983	12788	207
984	12800	194
985	12812	181
986	12824	168
987	12835	155
988	12846	142
989	12857	129
990	12869	116
991	12880	103
992	12892	90
993	12904	77
994	12914	64
995	12926	51
996	12937	38
997	12949	25
998	12961	12
999	12973	0
